subtype,markers,ttest_pvals,ttest_pvals_adj,wilcox_pvals,wilcox_pvals_adj
epithelioid,CD20,0.13,0.35,0.54,0.67
epithelioid,CD4,0.32,0.64,0.49,0.67
epithelioid,CD8,0.03,0.28,0.07,0.19
epithelioid,FOXP3,0.54,0.72,0.06,0.19
epithelioid,CD68,0.68,0.78,0.58,0.67
epithelioid,CD11c,0.82,0.82,0.69,0.69
epithelioid,CD56,0.54,0.72,0.34,0.67
epithelioid,CK,0.08,0.33,0.07,0.19
biphasic,CD20,0.12,0.48,0.16,0.29
biphasic,CD4,0.64,0.68,0.18,0.29
biphasic,CD8,0.67,0.68,0.48,0.52
biphasic,FOXP3,0.51,0.68,0.09,0.29
biphasic,CD68,0.07,0.48,0.09,0.29
biphasic,CD11c,0.68,0.68,0.25,0.33
biphasic,CD56,0.66,0.68,0.52,0.52
biphasic,CK,0.34,0.68,0.18,0.29