"","vars","hazards_conf","pvalues","casetypes"
"1","CD4.T.cells...CD4.T.cells(90)","1.01e+00 (9.87e-01, 1.04e+00)","3.76e-01","All"
"2","CD4.T.cells...CD8.T.cells(90)","1.02e+00 (9.91e-01, 1.05e+00)","1.86e-01","All"
"3","CD4.T.cells...Macrophages(90)","1.03e+00 (9.95e-01, 1.06e+00)","1.06e-01","All"
"4","CD4.T.cells...Tumor.cells(90)","1.01e+00 (9.82e-01, 1.03e+00)","6.53e-01","All"
"5","CD4.T.cells...Treg.cells.(90)","9.95e-01 (9.73e-01, 1.02e+00)","6.28e-01","All"
"6","CD8.T.cells...CD8.T.cells(90)","1.01e+00 (9.67e-01, 1.05e+00)","7.04e-01","All"
"7","CD8.T.cells...Macrophages(90)","1.00e+00 (9.72e-01, 1.03e+00)","8.56e-01","All"
"8","CD8.T.cells...Tumor.cells(90)","9.92e-01 (9.66e-01, 1.02e+00)","5.69e-01","All"
"9","CD8.T.cells...Treg.cells.(90)","9.88e-01 (9.67e-01, 1.01e+00)","2.54e-01","All"
"10","Macrophages...Macrophages(90)","9.99e-01 (9.65e-01, 1.03e+00)","9.32e-01","All"
"11","Macrophages...Tumor.cells(90)","9.92e-01 (9.65e-01, 1.02e+00)","5.50e-01","All"
"12","Tumor.cells...Tumor.cells(90)","1.00e+00 (9.49e-01, 1.06e+00)","9.11e-01","All"
"13","Treg.cells....Macrophages(90)","1.00e+00 (9.79e-01, 1.02e+00)","9.79e-01","All"
"14","Treg.cells....Tumor.cells(90)","1.01e+00 (9.93e-01, 1.03e+00)","2.04e-01","All"
"15","Treg.cells....Treg.cells.(90)","1.02e+00 (9.85e-01, 1.05e+00)","3.31e-01","All"
"16","B.cells...CD4.T.cells(90)","9.62e-01 (9.28e-01, 9.98e-01)","3.83e-02","All"
"17","B.cells...CD8.T.cells(90)","9.64e-01 (9.32e-01, 9.97e-01)","3.48e-02","All"
"18","B.cells...Macrophages(90)","9.91e-01 (9.56e-01, 1.03e+00)","6.33e-01","All"
"19","B.cells...Tumor.cells(90)","9.98e-01 (9.72e-01, 1.03e+00)","8.94e-01","All"
"20","B.cells...Treg.cells.(90)","1.02e+00 (9.75e-01, 1.07e+00)","3.54e-01","All"
"21","B.cells...B.cells(90)","9.63e-01 (9.27e-01, 1.00e+00)","5.38e-02","All"
"22","CD4.T.cells...CD4.T.cells(74)","1.01e+00 (9.85e-01, 1.04e+00)","4.01e-01","Pleural"
"23","CD4.T.cells...CD8.T.cells(74)","1.02e+00 (9.82e-01, 1.06e+00)","3.35e-01","Pleural"
"24","CD4.T.cells...Macrophages(74)","1.01e+00 (9.84e-01, 1.04e+00)","3.92e-01","Pleural"
"25","CD4.T.cells...Tumor.cells(74)","1.01e+00 (9.81e-01, 1.04e+00)","5.28e-01","Pleural"
"26","CD4.T.cells...Treg.cells.(74)","9.97e-01 (9.75e-01, 1.02e+00)","8.27e-01","Pleural"
"27","CD8.T.cells...CD8.T.cells(74)","1.03e+00 (9.76e-01, 1.08e+00)","3.13e-01","Pleural"
"28","CD8.T.cells...Macrophages(74)","9.99e-01 (9.61e-01, 1.04e+00)","9.52e-01","Pleural"
"29","CD8.T.cells...Tumor.cells(74)","9.91e-01 (9.65e-01, 1.02e+00)","5.07e-01","Pleural"
"30","CD8.T.cells...Treg.cells.(74)","9.93e-01 (9.69e-01, 1.02e+00)","5.93e-01","Pleural"
"31","Macrophages...Macrophages(74)","9.99e-01 (9.63e-01, 1.04e+00)","9.65e-01","Pleural"
"32","Macrophages...Tumor.cells(74)","9.98e-01 (9.70e-01, 1.03e+00)","9.02e-01","Pleural"
"33","Tumor.cells...Tumor.cells(74)","1.02e+00 (9.59e-01, 1.07e+00)","6.03e-01","Pleural"
"34","Treg.cells....Macrophages(74)","9.77e-01 (9.52e-01, 1.00e+00)","8.58e-02","Pleural"
"35","Treg.cells....Tumor.cells(74)","1.01e+00 (9.83e-01, 1.03e+00)","5.64e-01","Pleural"
"36","Treg.cells....Treg.cells.(74)","1.01e+00 (9.78e-01, 1.04e+00)","5.76e-01","Pleural"
"37","B.cells...CD4.T.cells(74)","9.63e-01 (9.27e-01, 1.00e+00)","5.12e-02","Pleural"
"38","B.cells...CD8.T.cells(74)","9.74e-01 (9.32e-01, 1.02e+00)","2.52e-01","Pleural"
"39","B.cells...Macrophages(74)","1.01e+00 (9.64e-01, 1.05e+00)","7.94e-01","Pleural"
"40","B.cells...Tumor.cells(74)","9.83e-01 (9.39e-01, 1.03e+00)","4.77e-01","Pleural"
"41","B.cells...Treg.cells.(74)","1.03e+00 (9.72e-01, 1.09e+00)","3.37e-01","Pleural"
"42","B.cells...B.cells(74)","9.68e-01 (9.23e-01, 1.02e+00)","1.86e-01","Pleural"
"43","CD4.T.cells...CD4.T.cells(16)","1.01e+00 (9.51e-01, 1.08e+00)","6.90e-01","Peritoneal"
"44","CD4.T.cells...CD8.T.cells(16)","1.00e+00 (9.55e-01, 1.06e+00)","8.53e-01","Peritoneal"
"45","CD4.T.cells...Macrophages(16)","1.11e+00 (9.97e-01, 1.24e+00)","5.71e-02","Peritoneal"
"46","CD4.T.cells...Tumor.cells(16)","9.94e-01 (9.43e-01, 1.05e+00)","8.15e-01","Peritoneal"
"47","CD4.T.cells...Treg.cells.(16)","9.98e-01 (9.43e-01, 1.06e+00)","9.57e-01","Peritoneal"
"48","CD8.T.cells...CD8.T.cells(16)","9.70e-01 (8.92e-01, 1.05e+00)","4.78e-01","Peritoneal"
"49","CD8.T.cells...Macrophages(16)","1.00e+00 (9.46e-01, 1.07e+00)","8.88e-01","Peritoneal"
"50","CD8.T.cells...Tumor.cells(16)","1.19e+00 (8.83e-01, 1.60e+00)","2.54e-01","Peritoneal"
"51","CD8.T.cells...Treg.cells.(16)","9.77e-01 (9.34e-01, 1.02e+00)","3.26e-01","Peritoneal"
"52","Macrophages...Macrophages(16)","9.57e-01 (8.80e-01, 1.04e+00)","3.05e-01","Peritoneal"
"53","Macrophages...Tumor.cells(16)","9.64e-01 (8.76e-01, 1.06e+00)","4.55e-01","Peritoneal"
"54","Tumor.cells...Tumor.cells(16)","8.67e-01 (6.89e-01, 1.09e+00)","2.21e-01","Peritoneal"
"55","Treg.cells....Macrophages(16)","1.03e+00 (9.91e-01, 1.08e+00)","1.23e-01","Peritoneal"
"56","Treg.cells....Tumor.cells(16)","1.03e+00 (9.86e-01, 1.08e+00)","1.62e-01","Peritoneal"
"57","Treg.cells....Treg.cells.(16)","1.06e+00 (9.67e-01, 1.16e+00)","2.17e-01","Peritoneal"
"58","B.cells...CD4.T.cells(16)","9.52e-01 (8.47e-01, 1.07e+00)","4.14e-01","Peritoneal"
"59","B.cells...CD8.T.cells(16)","9.33e-01 (8.62e-01, 1.01e+00)","8.15e-02","Peritoneal"
"60","B.cells...Macrophages(16)","9.91e-01 (8.91e-01, 1.10e+00)","8.64e-01","Peritoneal"
"61","B.cells...Tumor.cells(16)","9.83e-01 (9.38e-01, 1.03e+00)","4.66e-01","Peritoneal"
"62","B.cells...Treg.cells.(16)","1.03e+00 (9.23e-01, 1.14e+00)","6.20e-01","Peritoneal"
"63","B.cells...B.cells(16)","9.47e-01 (8.74e-01, 1.03e+00)","1.86e-01","Peritoneal"
